web-scraper-order,web-scraper-start-url,image-src,title,price
"1699471084-1","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/080-000133-F.jpg?itok=knYMbWh0","Mini Cards Envelopes","R 8.99"
"1699471084-2","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/467-000008.jpg?itok=TjpPVFZr","Extendable Fishing Net, 87cm","R 49.98"
"1699471084-3","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/027-009015.jpg?itok=JDi1sB3l","Dustpan And Brush Set Black","R 39.98"
"1699471084-4","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/903-000625.jpg?itok=d15jO-w3","ChocoGram Chocolate Slab 60g","R 19.99"
"1699471084-5","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/088-000098.jpg?itok=PKTy9KzM","Incense Sticks 30pc and Wooden Holder","R 34.99"
"1699471084-6","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/088-000096.jpg?itok=lHdBwZ0N","Incense Sticks 50 Piece Assorted","R 29.99"
"1699471084-7","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=112","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/007-000633.jpg?itok=OviMmmvp","Novelty Hardcover Notebook","R 59.99"
"1699471101-8","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/567-000550.jpg?itok=0yzykC-Q","Pirate Crystal Sticker Colouring Book","R 59.99"
"1699471101-9","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/567-000544.jpg?itok=nTf6pXVc","Things That Go Colouring Book","R 59.99"
"1699471101-10","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/567-000554.jpg?itok=I3uUqbKw","Things That Go Sticker Activity Book","R 59.99"
"1699471101-11","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/567-000539.jpg?itok=gHcMwtev","Activity Book And Puzzle","R 69.99"
"1699471101-12","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/567-000547.jpg?itok=P9P-_pjd","Pirate Colouring Book","R 59.99"
"1699471101-13","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/079-000587.jpg?itok=fNZx1DSc","Top Spiral Binder, Perforated Sheets","R 99.99"
"1699471101-14","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/016-006610.jpg?itok=IF1QALTW","Ribbed Glass Jar With Black Lid,900ml","R 49.98"
"1699471101-15","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/079-008995.jpg?itok=TsVB0PdZ","Art Craft Paint Canvas","R 49.98"
"1699471101-16","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/079-008996.jpg?itok=KvZVh66y","Art Craft Paint Canvas","R 59.99"
"1699471101-17","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/568-000478.jpg?itok=UeIm0wP_","My First Essential Skills","R 44.99"
"1699471101-18","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/079-000515.jpg?itok=224HqG4a","Ultra Dry Wax Crayons, 8-Piece","R 99.99"
"1699471101-19","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/079-000184.jpg?itok=sN5U8ILk","Glitter And Glue Set","R 159.99"
"1699471101-20","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/079-008015.jpg?itok=zWH1iKDz","Paint Your Owm Jewellery Keep Sake Box","R 149.99"
"1699471101-21","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/082-007900.jpg?itok=9lrzBwTB","Sunglasses Assorted Styles Premium Unise","R 99.99"
"1699471101-22","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/004-071185-M.jpg?itok=LGNOUUzO","USB Cable Lightning 2.0 Amo 2 Meter","R 69.99"
"1699471101-23","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/004-071194-M.jpg?itok=TwChGsSB","USB Cable Micro USB 2.0 AMP 2 Meter","R 69.99"
"1699471101-24","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/016-001510.jpg?itok=tHkFrTp-","Decorated Glass Water Bottle, 450ml","R 59.99"
"1699471101-25","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/016-001520.jpg?itok=V8Fch7DL","Decorated Glass Water Bottle, 450ml","R 59.99"
"1699471101-26","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/016-006500.jpg?itok=3Ah_SkzB","Aqua Glass Storage Jar, 425ml","R 39.98"
"1699471101-27","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/466-005535.jpg?itok=LT1W13UG","Ball Bicycle Stand Pump","R 199.98"
"1699471101-28","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/027-783001.jpg?itok=1IKIBvhy","Foam Scourers 3-Piece","R 17.99"
"1699471101-29","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/567-000675.jpg?itok=qK9-DhGr","My First Sticker Activity Book","R 49.98"
"1699471101-30","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/174-000323.jpg?itok=Y3GCefUP","Travellers Neck Pillow 20 x 30 x 10cm","R 149.99"
"1699471101-31","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/031-000010.jpg?itok=L_LDAbZ3","MDF Collage Picture Frame Dad 34x34cm","R 129.99"
"1699471101-32","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/031-000005.jpg?itok=bl-Br4QW","Picture Frame Dad 10x15cm","R 44.99"
"1699471101-33","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/047-000014-AH.jpg?itok=KWYWgmwi","Plug Adaptor 1 x 16amp, 2 x 5amp","R 84.99"
"1699471101-34","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/573-000408.jpg?itok=GZjum24g","Danielle Steel B-Format Novels","R 149.99"
"1699471101-35","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/573-000409.jpg?itok=qKw9K2-A","Lucinda Riley B-Format Novels","R 149.99"
"1699471101-36","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/162-001324.jpg?itok=kGRRtjmN","WC JWL LDS 56","R 99.99"
"1699471101-37","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/566-000346.jpg?itok=u6xMyYFM","Temporary Tattoo Sheets","R 39.98"
"1699471101-38","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/041-007008-D.jpg?itok=sw663_x1","Voi Hand Nail Cream Cookie 50ml","R 34.99"
"1699471101-39","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/089-002295.jpg?itok=fLbLcIQj","Horoscope Metal Key Chain","R 34.99"
"1699471101-40","https://www.crazystore.co.za/products?items_per_page=36&sort_bef_combine=changed_DESC&page=111","/sites/default/files/styles/respond_medium_no_crop/public/crazy_import/images/041-007008-B.jpg?itok=UQAi6UZu","Voi Hand Nail Cream Coconut 50ml","R 34.99"
