product href,image-src,price,title
https://www.dischem.co.za/zz-sg-aerosoft-ss23-la0801-982,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/4/147982_1_1.jpg,R 375.00,Zz/sg Aerosoft Ss23 La0801
https://www.dischem.co.za/zyrtec-tablets-10mg-30-s-239,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/D/i/Dis-Chem-Magento-Website-Placeholder-Image-pharmacist_1_36_151.png,R 313.95,Zyrtec Tablets 10mg 30's
https://www.dischem.co.za/zyora-zyzinc-effervescent-945,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/60abaaa353c6a_6009880616312.jpg,R 89.95,Zyora Zyzinc+ Effervescent
https://www.dischem.co.za/zyora-zyzinc-60-caps-944,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/60abaaa343d2d_6009880616305.jpg,R 224.95,Zyora Zyzinc+ 60 Caps
https://www.dischem.co.za/zyora-zyvit-30-caps,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/600880616084_1.jpg,R 104.95,Zyora Zyvit 30 Caps
https://www.dischem.co.za/zyora-zymood-60-capsules-731,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6076bfa45d644_6009880616626.jpg,R 294.95,Zyora Zymood 60 Capsules
https://www.dischem.co.za/zyora-zymag-effervescent-30-981,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/619e45f389aca_6009880616381.jpg,R 224.95,Zyora Zymag+ Effervescent 30
https://www.dischem.co.za/zyora-zymag-effervescent-10-968,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/619e45f373679_6009880616367.jpg,R 84.95,Zyora Zymag+ Effervescent 10
https://www.dischem.co.za/zyora-zyliver-20-s-caps-986,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009880616480.jpg,R 74.95,Zyora Zyliver 20's Caps
https://www.dischem.co.za/zyora-zyliver-100s-595,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/62c567bf17f03_6009880616466.png,R 286.95,Zyora Zyliver 100s
https://www.dischem.co.za/zyora-zyfit-60-caps,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/600880616060_1.jpg,R 189.95,Zyora Zyfit 60 Caps
https://www.dischem.co.za/zyora-zyfer-30-caps-199,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6076bfa44c297_6009880616077.jpg,R 226.95,Zyora Zyfer 30 Caps
https://www.dischem.co.za/zyora-zycoll-30-capsules-579,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6076bfa454808_6009880616619.jpg,R 299.95,Zyora Zycoll 30 Capsules
https://www.dischem.co.za/zyora-zycalm-30-caps-198,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6076bfa423386_6009880616015.jpg,R 181.95,Zyora Zycalm 30 Caps
https://www.dischem.co.za/zyncet-10mg-tabs-30-s-795,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/D/i/Dis-Chem-Magento-Website-Placeholder-Image-pharmacist_357.png,R 86.95,Zyncet 10mg Tabs 30's
https://www.dischem.co.za/zymafluor-tablets-400-s-s-592,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/615c655b67283_6009880897803.jpg,R 233.95,Zymafluor Tablets 400's S
https://www.dischem.co.za/zymaflour-tablets-150-s-s-591,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/615c655c1bffd_6009880897810.jpg,R 88.45,Zymaflour Tablets 150's S
https://www.dischem.co.za/zymaflour-drops-s-590,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/619fdcfb36f94_6009880897797.jpg,R 63.95,Zymaflour Drops S
https://www.dischem.co.za/zuru-xshot-skin-menace-8darts-054,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/64942be4ed6cc_193052037862.jpg,R 129.95,Zuru Xshot Skin Menace 8darts
https://www.dischem.co.za/zuru-xshot-excel-xcess-001,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6425ba8eef73a_193052040299.jpg,R 299.95,Zuru Xshot Excel Xcess
https://www.dischem.co.za/zuru-xshot-excel-vigilante-002,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052040176.jpg,R 299.95,Zuru Xshot Excel Vigilante
https://www.dischem.co.za/zuru-xshot-excel-refill-darts-20pk-961,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052047946.jpg,R 69.95,Zuru Xshot Excel Refill Darts 20pk
https://www.dischem.co.za/zuru-xshot-excel-refill-131,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052040510.jpg,R 99.95,Zuru Xshot Excel Refill
https://www.dischem.co.za/zuru-xshot-excel-quick-slide-094,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/63931814147eb_193052040152.png,R 249.95,Zuru Xshot Excel Quick Slide
https://www.dischem.co.za/zuru-xshot-excel-kickback-096,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052040312.jpg,R 119.95,Zuru Xshot Excel Kickback
https://www.dischem.co.za/zuru-xshot-excel-hawk-eye-095,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052040169.jpg,R 269.95,Zuru Xshot Excel Hawk Eye
https://www.dischem.co.za/zuru-xshot-excel-fury-4-097,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052040343.jpg,R 159.95,Zuru Xshot Excel Fury 4
https://www.dischem.co.za/zuru-xshot-excel-double-kickback-098,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052040329.jpg,R 259.95,Zuru Xshot Excel Double Kickback
https://www.dischem.co.za/zuru-xshot-dino-attack-extinct-099,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/64942dff4f474_193052040459.jpg,R 149.95,Zuru Xshot Dino Attack Extinct
https://www.dischem.co.za/zuru-xshot-dino-attack-064,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/63931da8798ed_193052040435.png,R 259.95,Zuru Xshot Dino Attack
https://www.dischem.co.za/zuru-sparkle-girlz-styling-head-862,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/3/639f4cfc7c9b8_193052037268_contents.jpg,R 249.95,Zuru Sparkle Girlz Styling Head
https://www.dischem.co.za/zuru-sparkle-girlz-dolls-036,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052009883.jpg,R 129.95,Zuru Sparkle Girlz Dolls
https://www.dischem.co.za/zuru-sparkle-girlz-dolls-797,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052010100.jpg,R 79.95,Zuru Sparkle Girlz Dolls
https://www.dischem.co.za/zuru-sparkle-girlz-basic-styling-head-461,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/193052009791.jpg,R 249.95,Zuru Sparkle Girlz Basic Styling Head
https://www.dischem.co.za/zuru-robo-alive-fish-series-3-943,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/64942fe946bd9_193052043764.jpg,R 199.95,Zuru Robo Alive Fish Series 3
