product href,image-src,price,title,action
https://www.dischem.co.za/heat-holders-socks-lounge-feather-w-top-blue-338,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbd093e95e_5019041001698.jpg,R 149.95,Heat Holders Socks Lounge Feather W Top Blue,Add to Cart
https://www.dischem.co.za/wheat-bag-lavender-ak-122,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/61434a6874fb1_6009511133119.jpg,R 249.95,Wheat Bag Lavender (ak),Add to Cart
https://www.dischem.co.za/wheat-bag-soothing-warmth-ak-138,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/1/61434a688f79a_6009511178936.jpg,R 249.95,Wheat Bag Soothing Warmth (ak),Add to Cart
https://www.dischem.co.za/squish-110ml-589,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/7/170589_1_1.jpg,R 15.49,Squish 110ml,
https://www.dischem.co.za/dove-aero-150ml-aps-424,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/4/2/424_1_1.jpg,R 43.95,Dove Aero 150ml Aps,
https://www.dischem.co.za/purity-8-months-200ml-693,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/5/159693_1_1.jpg,R 17.99,Purity 8 Months 200ml,
https://www.dischem.co.za/sunlight-dish-washing-refill-pouch-750ml-051,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/5/653f646b5e7a2_6001087003490.jpg,R 30.95,Sunlight Dish Washing Refill Pouch 750ml,Add to Cart
https://www.dischem.co.za/nature-nourish-lip-gloss-10ml-890,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/2/222890_1_1.jpg,R 19.95,Nature Nourish Lip Gloss 10ml,
https://www.dischem.co.za/johnsons-baby-wipes-extra-sensitive-6-value-pack-336-wipes-598,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/622541ca7d96f_3574661600277.jpg,R 144.99,Johnsons Baby Wipes Extra Sensitive 6 Value Pack 336 Wipes,Add to Cart
https://www.dischem.co.za/purity-juice-200ml-688,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/5/159688_1_1.jpg,R 12.99,Purity Juice 200ml,
https://www.dischem.co.za/nivea-face-serum-pr-luminous-630-30ml-859,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6001051004454.jpg,R 434.95,Nivea Face Serum Pr Luminous 630 30ml,Add to Cart
https://www.dischem.co.za/handy-andy-750ml-487,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/5/152487_1_1.jpg,R 32.95,Handy Andy 750ml,
https://www.dischem.co.za/purity-purees-assorted-110ml-246,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/6/169246_1_1.jpg,R 15.99,Purity Purees Assorted 110ml,
https://www.dischem.co.za/purity-10-months-250ml-686,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/5/159686_1_1.jpg,R 19.99,Purity 10 Months 250ml,
https://www.dischem.co.za/purity-6-months-80ml-674,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/5/159674_1_1.jpg,R 13.99,Purity 6 Months 80ml,
https://www.dischem.co.za/domestos-summer-fresh-multipurpose-thick-bleach-750ml-003,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6082aaf93af25_8717163540213.jpg,R 36.95,Domestos Summer Fresh Multipurpose Thick Bleach 750ml,Add to Cart
https://www.dischem.co.za/vaseline-lotion-625ml-831,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/8/287831_1_1.jpg,R 92.95,Vaseline Lotion 625ml,
https://www.dischem.co.za/lux-botaincals-body-wash-750ml-931,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/8/287931_1_1.jpg,R 77.99,Lux Botaincals Body Wash 750ml,
https://www.dischem.co.za/nivea-face-day-cream-pr-luminous-630-sp-40ml-851,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6001051004447.jpg,R 399.95,Nivea Face Day Cream Pr Luminous 630 Sp 40ml,Add to Cart
https://www.dischem.co.za/dettol-eventone-175g-150,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/9/190150_1_1.jpg,R 17.95,Dettol Eventone 175g,
https://www.dischem.co.za/nivea-men-shower-gel-500ml-166,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/2/123166_1_1.jpg,R 83.95,Nivea Men Shower Gel 500ml,
https://www.dischem.co.za/nivea-body-cream-400ml-165,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/2/123165_1_1.jpg,R 84.95,Nivea Body Cream 400ml,
https://www.dischem.co.za/meridol-toothpaste-75ml-012,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/7/279012_1_1.jpg,R 98.95,Meridol Toothpaste 75ml,
https://www.dischem.co.za/acc-200mg-tab-40-s-510,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/64672240c51df_6006498014387.jpg,R 168.95,Acc 200mg Tab 40's,Add to Cart
https://www.dischem.co.za/maybelline-fit-me-foundation-matt-poreless-885,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/2/2/223885_1_1.jpg,R 199.95,Maybelline Fit Me Foundation Matt & Poreless,
https://www.dischem.co.za/nivea-shower-gel-female-500ml-875,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/1/7/172875_1_1.jpg,R 83.95,Nivea Shower Gel Female 500ml,
https://www.dischem.co.za/eucerin-sun-even-pigment-perfector-spf50-50ml-478,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5f6480953b835_4005800238963.jpg,R 369.95,Eucerin Sun Even Pigment Perfector Spf50+ 50ml,Add to Cart
https://www.dischem.co.za/sunlight-semi-concentrated-liquid-detergent-1-5-baby-643,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbd73a4b42_6001087384377.jpg,R 79.95,Sunlight Semi Concentrated Liquid Detergent 1.5 Baby,Add to Cart
