web-scraper-order,web-scraper-start-url,Pagination,Pagination-href,image-src,title,description,alone_description,price,chips_image-src,chips_price,chips_added_title,coke_image-src,coke_price,coke_added_title
"1700645255-1","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/beef-burgers-2022-mjojo-cheese-burger-hero.png","Mo' Cheese","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","7990","/images/menu/meal-and-combo/Meal_SmlChips.png","9490","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","10590","ADD A 250ml CAN"
"1700645255-2","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/beef-burgers-2022-mjojo-cheese-burger-hero.png","Mjojo Cheese","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","7490","/images/menu/meal-and-combo/Meal_SmlChips.png","8990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","10090","ADD A 250ml CAN"
"1700645255-3","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Beef_Burger_Bacon-Cheese.png","Bacon & Cheese","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","7490","/images/menu/meal-and-combo/Meal_SmlChips.png","8990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","10090","ADD A 250ml CAN"
"1700645255-4","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Cheeseburger_Prince.png","Prince ®","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","6490","/images/menu/meal-and-combo/Meal_SmlChips.png","7990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","9090","ADD A 250ml CAN"
"1700645255-5","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Cheeseburger_Original.png","Original Cheese","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","5990","/images/menu/meal-and-combo/Meal_SmlChips.png","7490","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","8590","ADD A 250ml CAN"
"1700645255-6","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Beef_Burger_OriginalSteers.png","Original Steers® Beef","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","5490","/images/menu/meal-and-combo/Meal_SmlChips.png","6990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","8090","ADD A 250ml CAN"
"1700645255-7","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Beef_Burger_Rave.png","Rave","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","4490","/images/menu/meal-and-combo/Meal_SmlChips.png","5990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","7090","ADD A 250ml CAN"
"1700645255-8","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Chicken_Burger_BaconCheese.png","Bacon & Cheese","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","7490","/images/menu/meal-and-combo/Meal_SmlChips.png","8990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","10090","ADD A 250ml CAN"
"1700645255-9","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Chicken_Burger_Cheese.png","Original Cheese","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","6490","/images/menu/meal-and-combo/Meal_SmlChips.png","7990","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","9090","ADD A 250ml CAN"
"1700645255-10","https://namibia.steers.africa/menu/steers-burgers","","","/images/menu/burgers/Chicken_Burger_Original.png","Original","Meal served with SML chips | Kilojoules based on burger only","BURGER ONLY","5990","/images/menu/meal-and-combo/Meal_SmlChips.png","7490","MEAL","/images/menu/meal-and-combo/sugar-coke-can-12-02-21.png","8590","ADD A 250ml CAN"
