web-scraper-order,web-scraper-start-url,image-src,title,price,description
"1700924561-1","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/kids/twinkle-cheese-cheese.webp","Toasted Cheese Combo","75.90",""
"1700924561-2","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/kids/franky-face.webp","Frank Combo","75.90",""
"1700924561-3","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/kids/twinkle-chicken-mayo-toastie.webp","Toasted Chicken Mayo Combo","79.90",""
"1700924561-4","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/kids/swim-along-breakfast.webp","Frank & Egg Breakfast Combo","79.90",""
"1700924561-5","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/2022/kids/beefy-cheese-clown-burger.webp","Cheeseburger Combo","79.90",""
"1700924561-6","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/2022/kids/chicky-chicken-burger.webp","Chicken Burger Combo","79.90",""
"1700924561-7","https://namibia.wimpy.africa/classic-menu/kids/","/site/images/pages/menu/kids/butterfly-waffle.webp","Kids' Waffle","39.90",""
"1700924602-8","https://namibia.wimpy.africa/classic-menu/desserts/","/site/images/pages/menu/desserts-and-drinks/desserts/Bar-One-Waffle.webp","Plain Waffle","64.90","with golden syrup"
"1700924602-9","https://namibia.wimpy.africa/classic-menu/desserts/","/site/images/pages/menu/2021/desserts/chocolate-just-chill.webp","Ice-Cream & Choc Sauce","36.90",""
"1700924602-10","https://namibia.wimpy.africa/classic-menu/desserts/","/site/images/pages/menu/2021/desserts/flapjacksicecream.webp","3 Flippin' Flapjacks","39.90","with golden syrup"
"1700924602-11","https://namibia.wimpy.africa/classic-menu/desserts/","/site/images/pages/menu/2022/desserts/Kit-Kat-Cup-Cake.webp","Kit Kat® Mug Cake","59.90","Kit Kat® & chocolate cake topped with Snowfreeze™ & a Kit Kat® finger"
"1700924602-12","https://namibia.wimpy.africa/classic-menu/desserts/","/site/images/pages/menu/2022/desserts/Waffle-Kit-Kat.webp","Kit Kat® Waffle","65.90","with Kit Kat® chocolate spread & Kit Kat® pieces"
"1700924642-13","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Espresso.webp","","23.90 
  Single",""
"1700924642-14","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/rooibos-tea.webp","Five Roses / Rooibos Tea","21.90",""
"1700924642-15","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Filtered-coffee.webp","","24.90 
  Regular",""
"1700924642-16","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Americano.webp","Americano Africano","29.90",""
"1700924642-17","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Milky-Wimpy-Coffee.webp","","29.90 
  Regular",""
"1700924642-18","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Cuppucino.webp","","35.90 
  Regular",""
"1700924642-19","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Caffe-Latte.webp","","38.90 
  Regular",""
"1700924642-20","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/2021/drinks/premium-drinks/Cremoccino.webp","","39.90 
  Regular","*dairy-based cream alternative"
"1700924642-21","https://namibia.wimpy.africa/classic-menu/drinks/","/site/images/pages/menu/desserts-and-drinks/hot-drinks/Caffe-Latte.webp","Flavoured Latte","49.90","Butter Toffee
Choc Hazelnut"
